iter	Passed	Remaining
399	64823	97234
400	64956	97030
401	65061	96782
402	65183	96562
403	65322	96367
404	65461	96171
405	65576	95941
406	65719	95753
407	65811	95491
408	65966	95321
409	66081	95093
410	66189	94855
411	66320	94650
412	66442	94434
413	66553	94203
414	66660	93967
415	66757	93717
416	66874	93495
417	66958	93229
418	67081	93017
419	67177	92768
420	67323	92590
421	67442	92374
422	67575	92177
423	67696	91964
424	67812	91746
425	67938	91540
426	68063	91336
427	68197	91142
428	68339	90960
429	68483	90780
430	68656	90639
431	68765	90413
432	68884	90202
433	69050	90052
434	69145	89810
435	69328	89681
436	69449	89473
437	69556	89248
438	69672	89034
439	69789	88822
440	69902	88606
441	70049	88433
442	70201	88266
443	70322	88061
444	70496	87922
445	70625	87728
446	70761	87542
447	70888	87345
448	71023	87157
449	71135	86943
450	71286	86776
451	71422	86591
452	71587	86442
453	71725	86260
454	71866	86081
455	71990	85883
456	72106	85675
457	72220	85465
458	72311	85230
459	72492	85100
460	72652	84945
461	72776	84748
462	72928	84584
463	73054	84390
464	73187	84205
465	73298	83994
466	73361	83729
467	73567	83627
468	73703	83446
469	73799	83221
470	73905	83006
471	74063	82850
472	74188	82657
473	74307	82459
474	74454	82291
475	74604	82127
476	74746	81955
477	74861	81752
478	75012	81590
479	75114	81374
480	75244	81189
481	75363	80991
482	75474	80787
483	75555	80550
484	75675	80356
485	75787	80154
486	75885	79937
487	75982	79719
488	76087	79510
489	76185	79295
490	76280	79077
491	76381	78865
492	76487	78659
493	76601	78462
494	76694	78243
495	76801	78040
496	76902	77830
497	76999	77617
498	77086	77395
499	77184	77184
500	77274	76966
501	77375	76759
502	77467	76543
503	77571	76340
504	77678	76140
505	77786	75941
506	77879	75728
507	78003	75546
508	78098	75336
509	78228	75160
510	78301	74929
511	78418	74742
512	78510	74531
513	78603	74321
514	78693	74108
515	78776	73891
516	78858	73672
517	78952	73465
518	79062	73273
519	79164	73074
520	79250	72861
521	79354	72665
522	79453	72465
523	79536	72251
524	79644	72059
525	79773	71887
526	79862	71678
527	79949	71470
528	80044	71268
529	80123	71052
530	80227	70860
531	80337	70672
532	80423	70464
533	80510	70257
534	80580	70037
535	80657	69822
536	80763	69634
537	80830	69411
538	80940	69227
539	81023	69020
540	81100	68807
541	8541	81779	6542	8542	81965	6543	8543	82139	6544	8544	82260	68676
545	82338	6546	8546	82437	6547	8547	82526	6548	8548	82589	6549	82153	67216
550	8550	82781	6551	82402	66877
552	82578	66750
553	82739	66609
554	8554	83355	6555	8555	83464	6556	8556	83551	6557	8557	83662	6558	8558	83766	66084
559	83868	65896
560	83995	65728
561	84094	65539
562	84214	65367
563	84348	65205
564	84463	65029
565	84546	64829
566	84633	64631
567	84745	64454
568	84868	64285
569	84959	64092
570	85065	63911
571	85191	63744
572	85310	63573
573	85405	63384
574	85477	63178
575	85545	62971
576	85634	62779
577	85788	62634
578	85846	62420
579	85942	62234
580	86037	62047
581	86181	61896
582	86246	61689
583	86319	61487
584	86396	61290
585	86463	61085
586	86536	60885
587	86611	60686
588	86675	60481
589	86760	60291
590	86845	60100
591	86948	59924
592	87015	59722
593	87078	59518
594	87127	59305
595	87183	59097
596	87262	58905
597	87331	58707
598	87396	58507
599	87460	58307
600	87525	58107
601	87595	57912
602	87662	57714
603	87726	57516
604	87806	57327
605	87884	57139
606	87934	56933
607	87998	56735
608	88063	56539
609	88133	56347
610	88218	56165
611	88295	55978
612	88365	55787
613	88434	55595
614	88501	55403
615	88569	55211
616	88649	55028
617	88722	54841
618	88811	54664
619	88869	54468
620	88921	54269
621	88970	54069
622	89039	53881
623	89080	53676
624	89135	53481
625	89202	53293
626	89246	53092
627	89302	52899
628	89361	52707
629	89427	52520
630	89486	52330
631	89549	52142
632	89630	51966
633	89703	51784
634	89761	51594
635	89839	51417
636	89904	51232
637	89958	51042
638	90011	50851
639	90096	50679
640	90155	50492
641	90214	50306
642	90271	50119
643	90321	49929
644	90393	49751
645	90472	49577
646	90537	49396
647	90597	49213
648	90671	49037
649	90743	48861
650	90801	48678
651	90878	48505
652	90933	48321
653	90996	48142
654	91066	47966
655	91140	47793
656	91202	47614
657	91271	47438
658	91329	47258
659	91401	47085
660	91467	46909
661	91541	46738
662	91601	46560
663	91651	46378
664	91711	46200
665	91769	46022
666	91831	45846
667	91899	45674
668	91954	45495
669	92025	45325
670	92083	45149
671	92145	44975
672	92203	44800
673	92254	44621
674	92308	44444
675	92362	44268
676	92411	44090
677	92480	43921
678	92523	43740
679	92560	4680	9680	92604	4681	9681	92677	4682	9682	92760	4683	9683	92843	4684	9684	92918	4685	9685	92984	4686	9686	93048	4687	9687	93116	4688	9688	93182	4689	9689	93252	4690	9690	93341	4691	9691	93412	4692	9692	93483	4693	9693	93555	4694	9694	93620	4695	9695	93704	4696	9696	93754	4697	9697	93819	4698	93300	40176
699	93371	40016
700	93426	39849
701	9701	94059	3702	9702	94107	3703	9703	94178	3704	9704	94229	3705	93721	39028
706	93783	38866
707	93847	38705
708	93910	38544
709	93957	38376
710	94013	38213
711	94069	38050
712	9712	94705	3713	9713	94769	3714	94267	37575
715	94323	37413
716	94387	37254
717	94453	37097
718	94523	36941
719	94584	36782
720	94647	36625
721	94715	36469
722	9722	95348	3723	9723	95405	3724	94894	35994
725	9725	95526	3726	9726	95588	3727	9727	95641	3728	9728	95705	3729	9729	95761	3730	9730	95816	3731	9731	95872	3732	9732	95919	3733	9733	95979	3734	9734	96045	3735	9735	96115	3736	9736	96172	3737	95664	33962
738	95724	33808
739	95787	33655
740	95872	33510
741	95931	33356
742	95991	33202
743	96064	33054
744	96109	32896
745	96171	32744
746	96245	32597
747	96328	32452
748	96402	32305
749	96480	32160
750	9750	97104	3751	9751	97162	3752	9752	97221	3753	9753	97302	3754	96815	31416
755	96883	31269
756	9756	97508	3757	9757	97567	3758	97070	30822
759	97142	30676
760	97193	30524
761	9761	97816	3762	97314	30227
763	97377	30079
764	97445	29934
765	97487	29780
